13131,Meadow Heights,10152,Broadmeadows District
13015,Moomba Park,10152,Broadmeadows District
13308,Roxburgh Homestead,10152,Broadmeadows District
12706,Roxburgh Park,10152,Broadmeadows District
12405,Upfield,10152,Broadmeadows District
13903,Westmeadows,10152,Broadmeadows District
13481,Blyth,10107,Brunswick District
12220,Brunswick East,10107,Brunswick District
12267,Brunswick North,10107,Brunswick District
13515,Brunswick North West,10107,Brunswick District
13649,Brunswick South,10107,Brunswick District
13651,Brunswick South West,10107,Brunswick District
12865,Coburg,10107,Brunswick District
12923,Coburg East,10107,Brunswick District
13109,Coburg West,10107,Brunswick District
12680,Edward,10107,Brunswick District
12256,Glen Nichol,10107,Brunswick District
13125,Melville,10107,Brunswick District
12692,Merri,10107,Brunswick District
12695,Mitchell Street,10107,Brunswick District
12651,Moreland,10107,Brunswick District
12791,Pascoe Vale South,10107,Brunswick District
13802,Bulleen,10145,Bulleen District
12237,Bulleen West,10145,Bulleen District
13399,Doncaster,10145,Bulleen District
13269,Doncaster Central,10145,Bulleen District
12533,Doncaster South,10145,Bulleen District
12731,Doncaster West,10145,Bulleen District
12641,Lower Templestowe,10145,Bulleen District
13664,Manningham,10145,Bulleen District
13033,Serpell,10145,Bulleen District
13569,St Gregory's,10145,Bulleen District
13336,Templestowe,10145,Bulleen District
12252,Templestowe Heights,10145,Bulleen District
13805,Templestowe Park,10145,Bulleen District
13990,Templestowe Valley,10145,Bulleen District
13435,The Pines,10145,Bulleen District
13176,Bundoora,10149,Bundoora District
13309,Findon,10149,Bundoora District
12737,Greensborough,10149,Bundoora District
13292,Kingsbury,10149,Bundoora District
12945,Mill Park,10149,Bundoora District
13139,Norris Bank,10149,Bundoora District
13892,Streeton,10149,Bundoora District
12638,The Stables,10149,Bundoora District
13164,Watsonia,10149,Bundoora District
13330,Watsonia Central,10149,Bundoora District
12704,Watsonia Heights,10149,Bundoora District
13757,Watsonia North,10149,Bundoora District
12617,Watsonia South,10149,Bundoora District
